Day,Time (UTC),Strand,Room,Order,Theme,Authors,Title,Abstract ID & link,Country
Wednesday,11,1,1,3,Methods Innovation,"Micallef Grimaud, Annaliese; Eerola, Tuomas",How to explore a large cue-emotion space in music? A comparison of two approaches for emotions expressed by music.,383,Malta
Wednesday,11,2,2,1,Interaction & Wellbeing,"Loaiza, Juan M.; Moran, Nikki; Timmers, Renee",4E cognition and decolonial goals converge in interpreting socio-functional uses of music,549,UK
Wednesday,11,2,2,2,Interaction & Wellbeing,"Spiro, Neta; Sanfilippo, Katie Rose M.; Trahan, Tabitha; Schober, Michael F.",Shared understanding in music therapy improvisation: Four case studies,143,UK
Wednesday,11,2,2,3,Interaction & Wellbeing,"Herbert, Ruth; Walduck, Jackie; Newman, Hannah; Shaughnessy, Nicola","Neurodiverse Worlds: Articulating the Subjective Experience of Autistic Girls Through Music, Sound and Movement",309,United Kingdom
Wednesday,11,3,3,1,Musical Development,"Shaughnessy, Caitlin",Scaffolding Interactivity: The development of interactive behaviours during musical play for autistic children,478,United Kingdom
Wednesday,11,3,3,2,Musical Development,"Wise, Karen J; Halpern, Andrea R","Identity, Attitude and Skill Changes Among Non-singers Learning to Sing",201,UK
Wednesday,11,3,3,3,Musical Development,"Fiedler, Daniel; Hasselhorn, Johannes A.; Arens, A. Katrin; Frenzel, Anne C.",Validation of the Music Self-Perception Inventory (MUSPI-S) with German Students from Grades 7 to 9,233,Germany
Wednesday,11,4,4,1,Rhythm & Memory,"Guthrie, Ian Evans",Functional Rhythm: Analytical pitfalls and terminological shortcomings,439,United States of America
Wednesday,11,4,4,2,Rhythm & Memory,"Lin, Chia-Yuan; Falk, Simone; Dalla Bella, Simone; Rathcke, Tamara",On the role of listener’s musicality in motor entrainment with speech,577,Canada
Wednesday,11,4,4,3,Rhythm & Memory,"Kantan, Prithvi Ravi; Spaich, Erika G.; Dahl, Sofia",Conveying Sit-to-Stand Kinematics Through Musical Sonification for Stroke Rehabilitation,581,Denmark
Wednesday,11,7,W,1,Academic writing (BA),"Oldendaal, Albi",Academic writing session,2012,NA
Wednesday,12,5,S,1,"MUSICOVID:
coping through crisis with music (S)","Hansen, Niels Chr.; Wald-Fuhrmann, Melanie","Symposium: MUSICOVID‒coping through crisis with
music",418,Denmark
Wednesday,12,5,S,2,"MUSICOVID:
coping through crisis with music (S)","Warrenburg, Lindsay; Fink, Lauren; Howlin, Claire; Randall, William; Hansen, Niels Chr.; Wald-Fuhrmann, Melanie",Viral Tunes: Changes in Musical Behaviours and Interest in Coronamusic Predict Socio-Emotional Coping During COVID-19 Lockdown,397,United States
Wednesday,12,5,S,3,"MUSICOVID:
coping through crisis with music (S)","Granot, Roni",A cross-cultural comparison of music versus other activities in achieving well-being goals during the Covid-19 pandemic,261,Israel
Wednesday,12,5,S,4,"MUSICOVID:
coping through crisis with music (S)","Ferreri, Laura; Singer, Neomi; McPhee, Michael; Ripollés, Pablo; Mas-Herrero, Ernest; Zatorre, Robert J",Engagement in music-related activities during the COVID-19 pandemic as a mirror of individual differences in musical abilities and coping strategies,248,Francia
Wednesday,13,5,S,1,"MUSICOVID:
coping through crisis with music (S)","Yeung, Timothy Yu-Cheong",Did the COVID-19 Pandemic Trigger Nostalgia? Evidence of Music Consumption on Spotify,470,Belgium
Wednesday,13,5,S,2,"MUSICOVID:
coping through crisis with music (S)","Wald-Fuhrmann, Melanie",Coronatunes? An analysis of the most popular Corona contrafacta and musical pieces Germans listened to and played during lockdown,379,Germany
Wednesday,13,5,S,3,"MUSICOVID:
coping through crisis with music (S)","Hansen, Niels Chr.; Kolding, Sara; Kurm, Anita; Baglini, Rebekah",Positive affective bias in corona-musicking during lockdown,540,Denmark
Wednesday,13,1,1,1,Early years,"Vazquez Diaz de Leon, Verna",The interactive role of music as a facilitator for mother-infant bonding in early motherhood,187,MEXICO
Wednesday,13,2,2,1,Memory,"Kubit, Benjamin M.; Janata, Petr",Spontaneous mental replay of music improves memory for musical sequence knowledge,537,U.S.
Wednesday,13,2,2,2,Memory,"Pacheco Aguiar, Ana Marta",A consideration of empirical studies on musical memory: are aspects of the music experience being missed?,469,United Kingdom
Wednesday,13,2,2,3,Memory,"Kinghorn, Elizabeth; Lagace-Cusiac, Rebekka; Demirkaplan, Ozgen; Grahn, Jessica; De Souza, Jonathan; Carter, Christine",The effects of interleaved and blocked practice on musical style recognition,679,Canada
Wednesday,13,3,3,1,Pitch,"Korsmit, Iza Ray; Adler, Yuval; Madahi, Behrad; Smith, Bennett Keith; McAdams, Stephen",Multidimensional Scaling of Timbral Dissimilarities Across Pitch Registers at Different Dynamics,282,Canada
Wednesday,13,3,3,2,Pitch,"Halpern, Andrea; Armitage, James; Eerola, Tuomas",The influence of mode and timbre on valence judgments and memory,471,USA
Wednesday,13,4,4,1,Covid19,"Roese, Natalie Alexa; Merrill, Julia",Consequences of the COVID-19 Lockdown in Germany: Effects of Changes in Daily Life on Musical Engagement and Functions of Music,225,Germany
Wednesday,13,4,4,2,Covid19,"Cohen, Susanna; Ginsborg, Jane",What can we learn from the impact of COVID-19 on the lives of self-employed orchestral musicians in the UK?,242,Israel
Wednesday,14,1,1,1,Rhythm (African drumming),"Durojaye, Cecilia; Knowles, Kristina L.; Patten, K. Jakob; Garcia, Mordecai J.; McBeath, Michael K.",Speech and song surrogacy in the Yorùbá dùndún talking drum,407,Germany
Wednesday,14,1,1,2,Rhythm (African drumming),"Larrouy-Maestri, Pauline; Fink, Lauren K.; Durojaye, Cecilia; Hörster, Madita; Poeppel, David; Wald-Fuhrmann, Melanie",Music or language or both? The classification of dundun talking drum stimuli,338,Germany
Wednesday,14,1,1,3,Rhythm (African drumming),"Jacoby, Nori; Polak, Rainer; London, Justin",Extreme Precision in Rhythmic Interaction is Enabled by Role-Optimized Sensorimotor Coupling: Analysis and Modeling of West African Drum Ensemble Music,362,Germany
Wednesday,14,2,2,1,Language in and describing music,"Patrick, Morgan; Swett, Nicky; Ashley, Richard",Animating Comparison: Bootstrapping Theme Learning in Multimodal Contexts,665,United States
Wednesday,14,2,2,2,Language in and describing music,"Thiesen, Felix Christian; Gillner, Elisa; Schramm, Holger",“Shame for You”: Vicarious shaming in singer- songwriter performances,239,Germany
Wednesday,14,3,3,1,Listening Motivation & Covid,"Phillips, Michelle; Jason, Taylor; Duncan, Williams; Luke, Jones; Olly, Bones; Daniela, Montaldi","Behaviours, motivations, and attitudes in relation to audience experiences of live streamed performance, pre- and post-COVID-19",685,UK
Wednesday,14,3,3,2,Listening Motivation & Covid,"Alessandri, Elena; Rose, Dawn; Sigrist, Carlo; Blackstone, Kate; Burland, Karen",A mixed methods investigation of music student wellbeing: Perspectives from schools of music in Switzerland and the UK.,124,Switzerland
Wednesday,14,4,4,1,Pitch and Memory,"Eitel, Matthew James; Ruth, Nicolas; Harrison, Peter; Frieler, Klaus; Müllensiefen, Daniel","Perception of chord sequences modelled with Prediction by Partial Matching, Voice-leading distance, and Pitch-Class Spectral Similarity: A new approach for testing individual differences in harmony perception",550,Canada
Wednesday,14,4,4,2,Pitch and Memory,"Goldman, Andrew Jacob; Harrison, Peter; Jackson, Tyreek; Pearce, Marcus",Reassessing Syntax-Related ERP Components Using Popular Music Chord Sequences: A Model-Based Approach,237,USA
Wednesday,14,5,S,1,One World in Song (S),"Greenberg, David M.",Symposium: One World in Song: Using music to bridge cultures and overcome social conflict,583,Israel
Wednesday,14,5,S,2,One World in Song (S),"Greenberg, David M.",Introducing One World in Song: Initial findings from the social neuroscience of music and studies in the wild,585,Israel
Wednesday,14,5,S,3,One World in Song (S),"Hendler, Micah",Jerusalem Youth Chorus Virtual Workshop; Bringing together young Palestinian and Israeli singers from East and West Jerusalem,587,9999
Wednesday,15,5,S,1,One World in Song (S),"Gordon, Ilanit; Giboa, Avi; Cohen, Shai",Joint drumming as a platform to investigate interpersonal synchronization,590,9999
Wednesday,15,5,S,2,One World in Song (S),"Seroussi, Edwin; Broza, David; Hendler, Micah; HaChen, Ruth",Roundtable discussion: Bringing music to life for social change (in the Middle East),593,9999
Wednesday,15,1,Pa,1,Communication and interaction; Music & language (P),"Anastasi, Alessandra; Di Vita, Vincenza",Language and Performance Studies,567,Italia
Wednesday,15,1,Pa,2,Communication and interaction; Music & language (P),"O'Neill, Katherine; Egermann, Hauke",Intra-Audience effects: The social experience of a live western art music concert influences people’s overall enjoyment of the event but not the emotional response to the music.,275,United Kingdom
Wednesday,15,1,Pa,3,Communication and interaction; Music & language (P),"Opałka / Peryt, Maria Magdalena",Cognitive Performing as a new paradigm in music and performative arts emerging from pandemic crisis - case study.,304,9999
Wednesday,15,1,Pa,4,Communication and interaction; Music & language (P),"Arrasmith, Kathleen Kaye","A Narrative Inquiry of Young Children’s Music Knowledge, Music Experiences, and Music Community at Home",266,United States
Wednesday,15,1,Pa,5,Communication and interaction; Music & language (P),"Wood, Emily; Dotov, Dobromir; Chang, Andrew; Bosnyak, Dan; Klein, Lucas; Trainor, Laurel",Group information flow decreases over time as a string quartet learns to play unfamiliar pieces together,600,Canada
Wednesday,15,1,Pa,6,Music & Language (P),"Cancino-Chacón, Carlos; Peter, Silvan; Chowdhury, Shreyan; Aljanaki, Anna; Widmer, Gerhard",Sorting Musical Expression: Characterization of Descriptions of Expressive Piano Performances,557,Austria
Wednesday,15,1,Pe,1,Music & Language (P),"Brown, Jane; Bidelman, Gavin",Song properties and familiarity affect speech recognition in musical noise,324,1
Wednesday,15,2,Pb,1,Music and health (P),"Kaczmarek, Stella",Application of music therapy in the treatment of psychosomatic patients,722,Polska
Wednesday,15,2,Pb,2,Music and health (P),"Phillips, Michelle; Ward, Susanna; Rose, Dawn; Young, Will; Poliakoff, Ellen","USES OF MUSIC BY PEOPLE WITH PARKINSON’S WHEN
COMPLETING EVERYDAY TASKS",386,England
Wednesday,15,2,Pb,3,Music and health (P),"Rincón, Raúl; Carvalho, Eduarda",Musical / Acoustical analysis of vocal interaction in preterm dyads during maternal speech vs. maternal singing: A study case of twins with different gender,270,9999
Wednesday,15,2,Pb,4,Music and health (P),"Sreewichian, Pulaporn; Cassidy, Gianna; Mason, Helen","Developing a Better Understanding of the Implementation, Evaluation and Impact of Socially Prescribed Music Interventions",531,United Kingdom
Wednesday,15,2,Pb,5,Music and health (P),"Fernández de Cañete García, Claudia María; Perkins, Rosie; Martínez-Castilla, Pastora",Piano learning and children’s psychological wellbeing: A study investigating how students’ engagement influences wellbeing effects with the self- determination theory as mediating theoretical approach,410,9999
Wednesday,15,2,Pf,1,Music/Musical Engagement: COVID-19 (P),"de los Santos, Cintia; Gualda, Fernando",Connecting people through singing: choir participation and wellbeing,671,BRAZIL
Wednesday,15,2,Pf,2,Music/Musical Engagement: COVID-19 (P),"Anjou, Brittany","A Quantitative and Qualitative Study of Mental Health of Professional Jazz Musicians in NYC During Covid-19, and Perceived Effects of Extended Social Isolation on Group Improvisation",688,USA
Wednesday,15,2,Pf,3,Music/Musical Engagement: COVID-19 (P),"McCloy, Morgan A.; Corrigall, Kathleen A.",Arts Engagement by Students in the Current COVID-19 Pandemic,605,Canada
Wednesday,15,3,Pc,1,Rhythm (P),"Bechtold, Toni Amadeus; Witek, Maria",Groove and catchiness in popular music: an interview study with music experts,268,Switzerland
Wednesday,15,3,Pc,2,Rhythm (P),"Kuijper, Laura C. M.; Lee, Christopher S.; Schaefer, Rebecca S.",Effects of rhythmic complexity on liking and urge to move: Investigating syncopation and repetition,510,The Netherlands
Wednesday,15,3,Pc,3,Rhythm (P),"Kempf, Adrian; Schiavio, Andrea",An analysis of eye movements in sight-reading rhythms,350,Austria
Wednesday,15,3,Pc,4,Rhythm (P),"Kaya, Ece; Henry, Molly J.",Individual differences in rhythmic entrainment and performance in temporal contexts requiring rapid adaptation,342,Germany
Wednesday,15,3,Pc,5,Rhythm: Drumming (P),"Düvel, Nina; Kopiez, Reinhard",The Quiet Things that Count: The Functions and Properties of Ghost Notes From the Professional Drummer’s Perspective,207,9999
Wednesday,15,3,Pc,6,Rhythm: Drumming (P),"Burger, Birgitta; Wöllner, Clemens","Relationships between tempo, dynamics, and movement characteristics in drumming",335,Germany
Wednesday,15,3,Pe,2,Rhythm: Music & Health (P),"Rose, Dawn; Phillips, Michelle; Young, Will; Poliakoff, Ellen","A survey investigating the use of music, musical and motor imagery, for mood and movement management among people with Parkinson's.",212,Switzerland
Wednesday,15,3,Pe,3,Rhythm: Perception (P),"Lookenbill, Zachary; VanHandel, Leigh; McAuley, Devin",Rhythmic Complexity is not Syncopation: An Investigation into Additional Factors of Perceived Complexity,645,United States
Wednesday,15,3,Pe,4,Rhythm: Perception (P),"Nichols, Bryan E.; Stambaugh, Laura A.","Melody, not Beat Perception, Predicts Rhythmic Error Detection",417,9999
Wednesday,15,3,Pe,5,Rhythm: Music & Health (P),"Pironio, Nicolás; Fernandez Slezak, Diego; Miguel, Martín Alejando",Development and evaluation of pulse clarity metrics based of a deep learning beat tracking model,607,Argentina
Wednesday,15,4,Pd,1,Skills (P),"Vroegh, Thijs",Connectivity between dimensions of flow during musical performance: A network perspective,109,Netherlands
Wednesday,15,4,Pd,2,Skills (P),"Cui, Anja-Xiaoxing; Motamed Yeganeh, Negin; Sviatchenko, Olga; Leavitt, Thea; McKee, Taylor; Guthier, Christina; Hermiston, Nancy; Werker, Janet F.; Boyd, Lara",The stress of music performance - heart rate variability differs between offstage and onstage periods,134,Germany
Wednesday,15,4,Pd,3,Skills (P),"Kim, Sarah; Rhyu, Seungyeon; Nam, Juhan; Lee, Kyogu",Correlation Analysis of Both Hands and Musical Scores for Quantitative Evaluation of Piano Performance,462,1
Wednesday,15,4,Pd,4,Skills (P),"Pennill, Nicola; Phillips, Keith; Phillips, Michelle E",Preparing music graduates for the industry of the future,573,9999
Wednesday,15,4,Pd,5,Skills (P),"Allingham, Emma; Wöllner, Clemens",Focus of attention affects motor performance in violin bow-control: Evidence for the constrained action hypothesis,336,Germany
Wednesday,15,4,Pd,6,Skills (P),"Chełkowska-Zacharewicz, Maria Emilia; Baran, Lidia",Usability of the psychological flexibility model in musicians. A qualitative study,542,Poland
Wednesday,16,1,1,1,Togetherness,"Lorenz, Taina Marie",“I Play for Togetherness”: Impacts of Audio-Visual Asynchrony on Feelings of Social Closeness in Adult Community Band Musicians,406,Canada
Wednesday,16,1,1,2,Togetherness,"Cameron, Kate; Burland, Karen; Bailes, Freya",Capturing Children’s Social Connections: A new method to examine the relationship between music tuition and social experiences,344,United Kingdom
Wednesday,16,1,1,3,Togetherness,"Aksnes, Hallgjerd; Fuglestad, Svein; Koksvik, Ingvild",Being-Together-Through-Music: Experiences of Connectedness in GIM Therapy,690,Norway
Wednesday,16,2,2,1,Musician's health,"Détári, Anna; Egermann, Hauke",Towards a holistic understanding of Musician's Focal Dystonia: psychosocial and psychological risk factors,465,UK
Wednesday,16,2,2,2,Musician's health,"Barros, Samuel; Marinho, Helena; Borges, Nery; Pereira, Anabela",Undergraduate music students' characteristics of music performance anxiety: a systematic review,425,Portugal
Wednesday,16,2,2,3,Musician's health,"Willis, Simone; Neil, Rich; Mellick, Mikel; Wasley, David",Occupational Stress and Well-being of Professional and Conservatoire Musicians,458,UK
Wednesday,16,3,3,2,Aesthetic emotions,"Dalgard, Joachim; Lartillot, Olivier; Vuoskoski, Jonna; Guldbrandsen,Erling E.",Absorption- Somewhere between the heart and the brain,611,Norway
Wednesday,16,3,3,3,Aesthetic emotions,"Dobrowohl, Felix A.; Herff, Steffen A.; Smit, Eline A.; Schaal, Nora K.","Functional excitement: Musical context informs listeners' emotional responses to chord gender, pitch height, and complexity",612,Germany
Wednesday,17,5,S,1,Cross Cultural and Decolonised Research (W),"Sauvé, Sarah; Phillips, Elizabeth; Schiefelbein, Wyatt",Cross Cultural and Decolonised Research,2023,NA
Wednesday,17,6,C,1,The Xenharmonic lounge: meet 'n' greet and listen (C),"Lenchitz, Jordan",The Xenharmonic lounge: meet 'n' greet and listen,2000,NA
Wednesday,18,1,Pa,1,Pitch (P),"Brown, Jenine L.; Tan, Daphne; Moranis, Rebecca; Orlando, Stephanie",The pre-dominant function at cadences in Bach and Beethoven,204,1
Wednesday,18,1,Pa,2,Pitch (P),"Mütze, Hanna; Busch, Veronika; Platz, Friedrich","Development and stabilization of internal representations of tonal hierarchies in pupils aged 8-
15. A systematic review and meta-analysis.",339,9999
Wednesday,18,1,Pa,3,Pitch (P),"Palandrani, Tiziana",The power of the voice in the saeta,263,Italy
Wednesday,18,1,Pa,4,Pitch (P),"Stamatiadis, Alexandros; Timmers, Renee; Brown, Guy",Assessing the influence of pitch distributions in melody liking ratings,191,9999
Wednesday,18,1,Pa,5,Pitch (P),"Avantaggiato, Massimo Vito",Crystal World: multidisciplinary analytical approaches and cognitive aspects,114,italy
Wednesday,18,1,Pa,6,Pitch (P),"Taylor, John R.; Chmiel, Anthony; Dean, Roger T.; Stevens, Catherine J.; MacRitchie, Jennifer",PitchDraw: A Dual Axis Pitch Association Training App For Novice Musical Instrument Learners,319,1
Wednesday,18,1,Pb,1,Pitch: Evolution & Biopsychology (P),"John, Renu P.; Jabbar, Dr.Jasseer",INFLUENCE OF ANT ERIOR TEMPORAL LOBECTOMY (ATL) IN INTELLIGENCE AND MUSICAL ABILITIES,340,9999
Wednesday,18,1,Pb,2,Pitch: Evolution & Biopsychology (P),"Li, Xiaonuo",The Effects of Timbre on Absolute Pitch (AP) Judgment and Its Brain Mechanism,474,Germany
Wednesday,18,1,Pb,3,Pitch: Evolution & Biopsychology (P),"Podlipniak, Piotr",Free rider recognition and the Baldwinian evolution of music,180,Polska
Wednesday,18,1,Pb,4,Pitch: Evolution & Biopsychology (P),"Himpel, Benjamin",Differential Geometry of Music,622,Germany
Wednesday,18,1,Pb,5,Pitch: Harmony (P),"de Clercq, Trevor Owen",Tempo versus Average Rates of Harmonic Rhythm in Popular Music: A Study of Three Corpora,259,9999
Wednesday,18,1,Pc,1,Pitch: Harmony (P),"Owen, Caroline; Egermann, Hauke",The Role of Harmony in Musical Affect,408,United Kingdom
Wednesday,18,1,Pc,2,Pitch: Harmony (P),"Phillips, Elizabeth; Brown, Steven",Beyond harmonicity: Vocal-melodic theories are necessary for studying the global origin of musical scales,683,1
Wednesday,18,1,Pc,3,Pitch: Harmony (P),"Finkensiep, Christoph; Klaßmann, Sebastian; Ericson, Petter; Rohrmeier, Martin",Abstract Chords and Concrete Notes - A Bayesian Learner Model for Harmonic Ornamentation,586,9999
Wednesday,18,1,Pc,4,Pitch: Memory (P),"Lembke, Sven-Amin",Identification of pitch-gesture sequences as a function of sequence length and gesture complexity,635,United Kingdom
Wednesday,18,1,Pc,5,Pitch: Memory (P),"Noble, Graeme S.; Spyra, Joanna; Woolhouse, Matthew",The Nature of Artificial Sounds: Musical Memory for Key Characterized by Timbre,652,1
Wednesday,18,1,Pc,6,Pitch: Memory (P),"Cecchetti, Gabriele; Herff, Steffen A.; Rohrmeier, Martin A.",Robustness to interference in memory performance and syntactic representations of melodies,358,Switzerland
Wednesday,18,1,Pd,1,Pitch: Perception (P),"Swierczek, Konrad; Woolhouse, Matthew",Predicting the dynamic perception of key: a cognitive model,608,Canada
